Month,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE
August,NON-JUNCTION,ON ROADWAY,RAIN,WET,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
April,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),DOMESTIC ANIMAL
September,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
May,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS
April,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),DOMESTIC ANIMAL
October,NON-JUNCTION,ON ROADWAY,CLOUDY,WET,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
September,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,"SIDESWIPE, SAME DIRECTION"
May,NON-JUNCTION,SHOULDER,CLOUDY,DRY,DUSK,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
October,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
September,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
April,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,FIXED OBJECT
December,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
June,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
June,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,RIGHT ANGLE
October,NON-JUNCTION,ON ROADWAY,CLOUDY,WET,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
June,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION"
MARCH,NON-JUNCTION,IN PARKING LANE OR ZONE,CLOUDY,MUD DIRT GRAVEL,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
May,NON-JUNCTION,ROADSIDE RIGHT,RAIN,WET,DARK-NOT LIGHTED,INCAPACITATING INJURY ACCIDENT,ROLL OVER
October,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
APRIL,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
November,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,WET,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
SEPTEMBER,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
August,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
August,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
OCTOBER,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
JANUARY,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
September,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DUSK,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,REAR-END
September,NON-JUNCTION,SHOULDER,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
August,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
February,NON-JUNCTION,SHOULDER,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT
December,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
October,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
January,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
June,INTERSECTION-RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
NOVEMBER,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
SEPTEMBER,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
January,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
December,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
APRIL,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION"
September,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
February,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
DECEMBER,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DARK-LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
December,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
JANUARY,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,"SIDESWIPE, SAME DIRECTION"
June,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
November,NON-JUNCTION,ROADSIDE LEFT,SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
May,NON-JUNCTION,SHOULDER,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
AUGUST,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT
October,INTERSECTION-RELATED,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT
June,NON-JUNCTION,SHOULDER,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
OCTOBER,INTERSECTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
FEBRUARY,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
MARCH,NON-JUNCTION,OUTSIDE RIGHT-OF-WAY (TRAFFICWAY),CLOUDY,DRY,DARK-NOT LIGHTED,INCAPACITATING INJURY ACCIDENT,ROLL OVER
DECEMBER,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
November,NON-JUNCTION,ROADSIDE LEFT,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
MAY,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
April,NON-JUNCTION,IN PARKING LANE OR ZONE,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,PEDESTRIAN
May,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
September,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO SIDE
February,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,REAR-END
July,DRIVEWAY/ALLEY ACCESS RELATED,ROADSIDE LEFT,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT
October,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
January,NON-JUNCTION,ON ROADWAY,CLOUDY,WET,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
DECEMBER,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
OCTOBER,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
October,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,ICE/FROST,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
AUGUST,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,RIGHT ANGLE
December,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
August,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
SEPTEMBER,NON-JUNCTION,ON ROADWAY,RAIN,WET,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
February,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
November,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
MAY,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
January,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
June,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
December,INTERSECTION-RELATED,ROADSIDE RIGHT,SNOW,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
November,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,WET,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
March,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
NOVEMBER,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,ROLL OVER
September,NON-JUNCTION,OFF ROADWAY LOCATION UNKNOWN,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),PARKED VEHICLE
JUNE,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),RIGHT ANGLE
April,INTERSECTION-RELATED,ON ROADWAY,SEVERE CROSSWINDS,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,REAR-END
December,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAWN,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
March,NON-JUNCTION,ROADSIDE RIGHT,SNOW,SNOW,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
SEPTEMBER,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
January,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
August,THROUGH ROADWAY,ROADSIDE LEFT,CLEAR,DRY,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,FIXED OBJECT
SEPTEMBER,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO FRONT
February,OTHER LOCATION,SHOULDER,CLEAR,MUD DIRT GRAVEL,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO SIDE
May,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DARK-NOT LIGHTED,INCAPACITATING INJURY ACCIDENT,ROLL OVER
SEPTEMBER,NON-JUNCTION,ROADSIDE RIGHT,UNKNOWN,UNKNOWN,UNKNOWN,POSSIBLE INJURY ACCIDENT,FIXED OBJECT
November,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
November,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
January,NON-JUNCTION,ROADSIDE LEFT,CLEAR,SNOW,DAWN,POSSIBLE INJURY ACCIDENT,ROLL OVER
February,INTERSECTION-RELATED,ROADSIDE RIGHT,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
December,NON-JUNCTION,OFF ROADWAY LOCATION UNKNOWN,CLEAR,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
February,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,SLUSH,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
JUNE,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
January,NON-JUNCTION,SHOULDER,CLEAR,ICE/FROST,DAYLIGHT,POSSIBLE INJURY ACCIDENT,ROLL OVER
December,NON-JUNCTION,SHOULDER,CLOUDY,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
December,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
January,NON-JUNCTION,SHOULDER,CLEAR,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
June,INTERSECTION-RELATED,ROADSIDE LEFT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
MARCH,NON-JUNCTION,ROADSIDE RIGHT,RAIN,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
October,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
APRIL,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,DRY,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,FIXED OBJECT
December,NON-JUNCTION,SHOULDER,CLOUDY,MUD DIRT GRAVEL,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,FIXED OBJECT
July,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,ROLL OVER
March,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,DRY,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,ROLL OVER
December,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLEAR,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO SIDE
June,INTERSECTION-RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
August,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,UNKNOWN,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO REAR
January,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
