Month,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE
JUNE,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
March,NON-JUNCTION,ROADSIDE LEFT,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
July,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
August,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO FRONT
MAY,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
FEBRUARY,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
December,NON-JUNCTION,ON ROADWAY,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
NOVEMBER,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
April,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT
March,NON-JUNCTION,ON ROADWAY,SNOW,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
August,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),RIGHT ANGLE
December,NON-JUNCTION,ON ROADWAY,SNOW,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
April,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
March,NON-JUNCTION,SHOULDER,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
February,NON-JUNCTION,ON ROADWAY,CLOUDY,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, OPPOSITE DIRECTION"
MAY,NON-JUNCTION,ON ROADWAY,CLEAR,MUD DIRT GRAVEL,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
June,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,HEAD ON
August,NON-JUNCTION,ON ROADWAY,CLOUDY,WET,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
November,NON-JUNCTION,ON ROADWAY,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION"
October,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
October,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
September,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
October,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
JANUARY,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
December,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,FATAL ACCIDENT,ROLL OVER
NOVEMBER,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
January,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
March,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,WILD ANIMAL
September,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,WILD ANIMAL
November,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
March,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
September,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
October,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
September,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
March,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
December,NON-JUNCTION,ON ROADWAY,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
May,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,WILD ANIMAL
DECEMBER,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
April,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
September,NON-JUNCTION,ON ROADWAY,CLOUDY,WET,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
November,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
August,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
November,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
April,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
November,NON-JUNCTION,ON ROADWAY,CLOUDY,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
NOVEMBER,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
January,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
NOVEMBER,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,WILD ANIMAL
JULY,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
November,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,INCAPACITATING INJURY ACCIDENT,BICYCLE
JANUARY,NON-JUNCTION,ON ROADWAY,BLOWING SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
NOVEMBER,NON-JUNCTION,MEDIAN,CLOUDY,SLUSH,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
February,NON-JUNCTION,MEDIAN,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),JACKKNIFE
AUGUST,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
September,NON-JUNCTION,ON ROADWAY,CLOUDY,WET,DAWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,SHOULDER,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
October,NON-JUNCTION,ON ROADWAY,SNOW,SNOW,DARK-NOT LIGHTED,UNKNOWN,"SIDESWIPE, SAME DIRECTION"
July,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION"
December,NON-JUNCTION,ON ROADWAY,CLOUDY,WET,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
October,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
November,INTERSECTION,SHOULDER,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
September,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
December,NON-JUNCTION,MEDIAN,SEVERE CROSSWINDS,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
February,NON-JUNCTION,MEDIAN,CLOUDY,DRY,DARK-LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
October,NON-JUNCTION,SHOULDER,CLOUDY,WET,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,ROLL OVER
February,NON-JUNCTION,SHOULDER,SEVERE CROSSWINDS,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),LOST CONTROL
December,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),JACKKNIFE
January,NON-JUNCTION,ROADSIDE RIGHT,SNOW,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
May,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
October,NON-JUNCTION,MEDIAN,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
February,NON-JUNCTION,MEDIAN,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
December,NON-JUNCTION,MEDIAN,BLOWING SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
NOVEMBER,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,SLUSH,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
March,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
December,NON-JUNCTION,ROADSIDE LEFT,BLOWING SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
December,NON-JUNCTION,OUTSIDE RIGHT-OF-WAY (TRAFFICWAY),CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
December,NON-JUNCTION,ON ROADWAY,BLOWING SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),JACKKNIFE
September,NON-JUNCTION,MEDIAN,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT
December,NON-JUNCTION,SHOULDER,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
NOVEMBER,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
February,NON-JUNCTION,ON ROADWAY,BLOWING SNOW,ICE/FROST,DAYLIGHT,POSSIBLE INJURY ACCIDENT,REAR-END
March,NON-JUNCTION,MEDIAN,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
AUGUST,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
February,NON-JUNCTION,ROADSIDE RIGHT,SNOW,WET,DARK-NOT LIGHTED,INCAPACITATING INJURY ACCIDENT,FIXED OBJECT
December,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
March,NON-JUNCTION,ON ROADWAY,SEVERE CROSSWINDS,DRY,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,REAR-END
DECEMBER,NON-JUNCTION,ROADSIDE RIGHT,SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
February,NON-JUNCTION,SHOULDER,CLEAR,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
December,NON-JUNCTION,MEDIAN,BLOWING SNOW,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
April,NON-JUNCTION,SHOULDER,CLOUDY,ICE/FROST,DAYLIGHT,POSSIBLE INJURY ACCIDENT,ROLL OVER
September,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
March,NON-JUNCTION,MEDIAN,SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
November,NON-JUNCTION,ON ROADWAY,CLOUDY,ICE/FROST,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,HEAD ON
January,NON-JUNCTION,MEDIAN,CLOUDY,WET,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
August,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
DECEMBER,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,FATAL ACCIDENT,ROLL OVER
February,NON-JUNCTION,SHOULDER,CLEAR,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
November,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
October,NON-JUNCTION,ON ROADWAY,RAIN,WET,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
DECEMBER,NON-JUNCTION,ROADSIDE RIGHT,SNOW,SLUSH,DAWN,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
September,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION"
JULY,NON-JUNCTION,MEDIAN,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
NOVEMBER,NON-JUNCTION,ON ROADWAY,RAIN,WET,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION"
November,NON-JUNCTION,ON ROADWAY,SNOW,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
July,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIRE/ EXPLOSION
February,NON-JUNCTION,SHOULDER,CLOUDY,WET,DARK-NOT LIGHTED,INCAPACITATING INJURY ACCIDENT,ROLL OVER
JULY,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
October,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
December,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
December,NON-JUNCTION,ROADSIDE RIGHT,SEVERE CROSSWINDS,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
October,NON-JUNCTION,ON ROADWAY,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS
April,NON-JUNCTION,SHOULDER,BLOWING SNOW,SNOW,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT
November,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
FEBRUARY,NON-JUNCTION,ON ROADWAY,CLOUDY,SNOW,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,REAR-END
November,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
September,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
May,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,WET,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,ROLL OVER
OCTOBER,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
JULY,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
AUGUST,DRIVEWAY/ALLEY ACCESS RELATED,SHOULDER,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
January,NON-JUNCTION,ROADSIDE LEFT,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
March,INTERSECTION-RELATED,SHOULDER,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
January,INTERSECTION-RELATED,ROADSIDE LEFT,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
September,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
APRIL,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,WET,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
MAY,NON-JUNCTION,IN PARKING LANE OR ZONE,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),IMMERSION
October,NON-JUNCTION,OUTSIDE RIGHT-OF-WAY (TRAFFICWAY),CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
April,NON-JUNCTION,ROADSIDE RIGHT,RAIN,MUD DIRT GRAVEL,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,FIXED OBJECT
May,NON-JUNCTION,ON ROADWAY,CLEAR,WET,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),DOMESTIC ANIMAL
