Month,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE
October,NON-JUNCTION,ON ROADWAY,BLOWING SNOW,ICE/FROST,DAYLIGHT,POSSIBLE INJURY ACCIDENT,REAR-END
December,NON-JUNCTION,ON ROADWAY,CLEAR,SNOW,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
June,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
February,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
September,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DUSK,POSSIBLE INJURY ACCIDENT,ROLL OVER
MAY,NON-JUNCTION,ROADSIDE RIGHT,RAIN,WATER (STANDING MOVING),DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
February,NON-JUNCTION,ON ROADWAY,CLEAR,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END
January,NON-JUNCTION,SHOULDER,CLEAR,ICE/FROST,DAWN,POSSIBLE INJURY ACCIDENT,FIXED OBJECT
February,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
October,NON-JUNCTION,ON ROADWAY,SEVERE CROSSWINDS,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIRE/ EXPLOSION
October,NON-JUNCTION,SHOULDER,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
FEBRUARY,NON-JUNCTION,ON ROADWAY,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
February,NON-JUNCTION,ROADSIDE RIGHT,BLOWING SNOW,ICE/FROST,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT
November,NON-JUNCTION,OUTSIDE RIGHT-OF-WAY (TRAFFICWAY),CLOUDY,ICE/FROST,DARK-LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
July,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
APRIL,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
April,INTERSECTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,RIGHT ANGLE
June,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
December,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),RIGHT ANGLE
November,INTERSECTION,ROADSIDE RIGHT,UNKNOWN,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
November,NON-JUNCTION,SHOULDER,CLOUDY,MUD DIRT GRAVEL,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
September,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,MUD DIRT GRAVEL,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
AUGUST,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,ROLL OVER
February,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIRE/ EXPLOSION
AUGUST,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,FIXED OBJECT
July,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,MUD DIRT GRAVEL,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
August,NON-JUNCTION,SHOULDER,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, OPPOSITE DIRECTION"
August,NON-JUNCTION,ROADSIDE RIGHT,UNKNOWN,DRY,UNKNOWN,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
September,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION"
July,NON-JUNCTION,SHOULDER,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),LOST CONTROL
March,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
December,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
SEPTEMBER,NON-JUNCTION,ON ROADWAY,"FOG, SMOG, SMOKE",DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),HEAD ON
DECEMBER,NON-JUNCTION,ROADSIDE LEFT,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
September,NON-JUNCTION,ROADSIDE LEFT,RAIN,WET,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
June,UNKNOWN,ON ROADWAY,CLEAR,MUD DIRT GRAVEL,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
May,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,MUD DIRT GRAVEL,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
AUGUST,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,ROLL OVER
DECEMBER,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAWN,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT
August,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
