MDT_CORRIDOR_ID,SMS_REFPOST_OFFSET,CITY,COUNTY,Month,Year,SMS_TIME,SMT_CRASH_OCC_DAY_OF_WEEK,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE,LATITUDE,LONGITUDE
C000012E,000+0.610,,GALLATIN,March,2013,10:30,WED,NON-JUNCTION,ROADSIDE RIGHT,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68098667,-111.26836
C000012E,000+0.632,NOT IN CITY LIMITS,GALLATIN,MARCH,2017,13:25,SAT,NON-JUNCTION,ROADSIDE RIGHT,SNOW,OTHER,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68108182,-111.2680796
C000012E,000+0.657,,GALLATIN,April,2014,15:30,FRI,NON-JUNCTION,SHOULDER,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.68159832,-111.2679001
C000012E,001+0.344,,GALLATIN,November,2014,23:06,TUE,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,INCAPACITATING INJURY ACCIDENT,FIXED OBJECT,44.68582186,-111.2565567
C000012E,001+0.406,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2017,6:30,WED,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,ROLL OVER,44.68594763,-111.2553073
C000012E,001+0.410,,GALLATIN,January,2013,11:15,SUN,ACCELERATION/DECELERATION LANE,ROADSIDE RIGHT,CLEAR,ICE/FROST,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER,44.68603453,-111.2550457
C000012E,001+0.468,,GALLATIN,November,2014,22:00,TUE,NON-JUNCTION,ON ROADWAY,CLOUDY,ICE/FROST,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS,44.68613667,-111.2540367
C000012E,001+0.517,,GALLATIN,August,2016,11:16,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.68625366,-111.2531134
C000012E,001+0.629,NOT IN CITY LIMITS,GALLATIN,JUNE,2017,21:15,SUN,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,44.68677876,-111.2508981
C000012E,001+0.630,,GALLATIN,November,2013,11:18,THU,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION",44.686715,-111.2507983
C000012E,001+0.760,,GALLATIN,January,2013,9:30,THU,NON-JUNCTION,SHOULDER,BLOWING SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.68711705,-111.2481473
C000012E,001+0.982,,GALLATIN,January,2016,6:20,THU,NON-JUNCTION,ROADSIDE RIGHT,BLOWING SNOW,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.68756877,-111.2437699
C000012E,002+0.110,,GALLATIN,August,2014,9:51,MON,INTERSECTION,ON ROADWAY,RAIN,WET,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,REAR-END,44.68769423,-111.2408252
C000012E,002+0.153,,GALLATIN,July,2014,14:32,WED,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION",44.68769423,-111.2399715
C000012E,002+0.227,,GALLATIN,December,2015,18:05,MON,NON-JUNCTION,ROADSIDE RIGHT,SNOW,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),PARKED VEHICLE,44.687537,-111.238412
C000012E,002+0.352,,GALLATIN,November,2015,19:25,MON,NON-JUNCTION,SHOULDER,SNOW,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68734799,-111.2358647
C000012E,002+0.445,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2017,10:30,TUE,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,SLUSH,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS,44.68711458,-111.234101
C000012E,002+0.687,NOT IN CITY LIMITS,GALLATIN,JULY,2017,9:45,THU,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.68678052,-111.2291679
C000012E,002+0.720,,GALLATIN,December,2013,9:58,SUN,NON-JUNCTION,ROADSIDE LEFT,BLOWING SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68678333,-111.228415
C000012E,002+0.811,,GALLATIN,October,2015,2:50,SUN,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,ROLL OVER,44.68660818,-111.2267209
C000012E,002+0.829,,GALLATIN,August,2016,13:48,SAT,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68645798,-111.2263111
C000012E,002+0.866,NOT IN CITY LIMITS,GALLATIN,AUGUST,2017,16:50,SUN,INTERSECTION-RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.68650778,-111.2255183
C000012E,003+0.000,,GALLATIN,February,2015,22:12,WED,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER,44.68625,-111.22293
C000012E,003+0.000,,GALLATIN,July,2015,15:00,FRI,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, OPPOSITE DIRECTION",44.68625,-111.22293
C000012E,003+0.000,,GALLATIN,June,2016,13:50,WED,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,REAR-END,44.68625,-111.22293
C000012E,003+0.000,NOT IN CITY LIMITS,GALLATIN,MAY,2017,6:25,THU,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,SLUSH,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68625,-111.22293
C000012E,003+0.124,,GALLATIN,January,2014,23:00,THU,NON-JUNCTION,ROADSIDE LEFT,SNOW,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68610619,-111.220444
C000012E,003+0.149,,GALLATIN,February,2016,10:43,MON,NON-JUNCTION,ROADSIDE LEFT,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68603453,-111.2199591
C000012E,003+0.162,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2017,22:42,THU,NON-JUNCTION,ROADSIDE LEFT,SNOW,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68604625,-111.2196732
C000012E,003+0.162,NOT IN CITY LIMITS,GALLATIN,SEPTEMBER,2017,19:21,FRI,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.6859712,-111.2196827
C000012E,003+0.620,,GALLATIN,June,2013,23:10,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,44.68415,-111.2107633
C000012E,003+0.695,,GALLATIN,June,2016,14:50,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,REAR-END,44.6837394,-111.2093338
C000012E,003+0.768,WEST YELLOWSTONE,GALLATIN,November,2016,2:16,WED,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,44.68329395,-111.2080132
C000012E,003+0.794,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2017,7:01,SUN,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68322138,-111.2075275
C000012E,003+0.840,,GALLATIN,June,2013,11:19,MON,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,REAR-END,44.68292333,-111.2066538
C000012E,003+0.893,,GALLATIN,December,2015,15:22,SUN,NON-JUNCTION,ON ROADWAY,CLEAR,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.68267405,-111.2056293
C000012E,003+0.967,,GALLATIN,February,2015,9:50,MON,NON-JUNCTION,SHOULDER,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.68221273,-111.2043507
C000012E,003+0.991,NOT IN CITY LIMITS,GALLATIN,JULY,2017,17:00,SUN,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.68204,-111.20378
C000012E,004+0.326,NOT IN CITY LIMITS,GALLATIN,AUGUST,2017,22:35,SUN,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,44.68025613,-111.1977063
C000012E,004+0.592,NOT IN CITY LIMITS,GALLATIN,JANUARY,2017,19:00,SAT,NON-JUNCTION,SHOULDER,CLEAR,ICE/FROST,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,ROLL OVER,44.67884167,-111.1926617
C000012E,004+0.827,NOT IN CITY LIMITS,GALLATIN,JUNE,2017,22:05,FRI,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,44.67748821,-111.1882603
C000012E,004+0.958,NOT IN CITY LIMITS,GALLATIN,JANUARY,2017,22:25,THU,NON-JUNCTION,ROADSIDE LEFT,CLEAR,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.6767815,-111.1857907
C000012E,004+1.013,,GALLATIN,December,2015,7:40,WED,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.67647752,-111.1847801
C000012E,004+1.025,,GALLATIN,July,2015,9:00,WED,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,WILD ANIMAL,44.67641,-111.18453
C000012E,005+0.024,WEST YELLOWSTONE,GALLATIN,NOVEMBER,2017,5:00,TUE,NON-JUNCTION,ROADSIDE RIGHT,SNOW,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS,44.6764392,-111.183941
C000012E,005+0.105,NOT IN CITY LIMITS,GALLATIN,JANUARY,2017,13:30,MON,NON-JUNCTION,SHOULDER,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.6760024,-111.1824641
C000012E,005+0.217,WEST YELLOWSTONE,GALLATIN,December,2016,17:00,SAT,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,SNOW,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.6757,-111.1803
C000012E,005+0.558,NOT IN CITY LIMITS,GALLATIN,SEPTEMBER,2017,0:00,TUE,THROUGH ROADWAY,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,44.67457238,-111.1735037
C000012E,005+0.718,WEST YELLOWSTONE,GALLATIN,DECEMBER,2017,21:11,TUE,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.67395265,-111.1703953
C000012E,006+0.341,,GALLATIN,July,2016,8:10,TUE,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.67186246,-111.1581832
C000012E,006+0.540,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2017,11:50,TUE,NON-JUNCTION,ROADSIDE LEFT,SNOW,ICE/FROST,DAYLIGHT,POSSIBLE INJURY ACCIDENT,ROLL OVER,44.67101566,-111.1543391
C000012E,006+0.706,WEST YELLOWSTONE,GALLATIN,DECEMBER,2017,19:17,MON,NON-JUNCTION,SHOULDER,CLEAR,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.67043629,-111.1509684
C000012E,006+0.781,WEST YELLOWSTONE,GALLATIN,JANUARY,2017,5:50,SUN,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS,44.67019006,-111.1495485
C000012E,006+0.800,,GALLATIN,June,2015,20:12,MON,NON-JUNCTION,ON ROADWAY,RAIN,WET,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,44.670105,-111.1491017
C000012E,007+0.000,,GALLATIN,January,2013,7:24,FRI,NON-JUNCTION,ON ROADWAY,CLEAR,ICE/FROST,DAYLIGHT,FATAL ACCIDENT,HEAD ON,44.66941333,-111.1451867
C000012E,007+0.015,,GALLATIN,December,2015,19:51,SAT,NON-JUNCTION,ROADSIDE LEFT,CLEAR,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.66931079,-111.1450524
C000012E,007+0.225,NOT IN CITY LIMITS,GALLATIN,JANUARY,2017,6:48,FRI,NON-JUNCTION,ROADSIDE RIGHT,"FOG, SMOG, SMOKE",ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS,44.66859325,-111.1408239
C000012E,007+0.454,,GALLATIN,January,2016,22:33,SAT,NON-JUNCTION,ROADSIDE LEFT,CLEAR,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.66793791,-111.1362483
C000012E,007+0.620,,GALLATIN,November,2013,18:23,WED,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS,44.66725167,-111.1330033
C000012E,007+0.760,,GALLATIN,March,2013,7:24,MON,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.66667833,-111.13025
C000012E,007+0.910,,GALLATIN,December,2013,9:59,MON,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.66621833,-111.127145
C000012E,007+0.981,,GALLATIN,January,2016,17:35,FRI,NON-JUNCTION,ROADSIDE RIGHT,SNOW,SNOW,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.66604226,-111.1259052
C000012E,008+0.441,,GALLATIN,July,2016,19:09,SAT,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION",44.66443618,-111.1169662
C000012E,008+0.441,,GALLATIN,July,2016,9:25,WED,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,REAR-END,44.66433624,-111.1169764
C000012E,008+0.478,WEST YELLOWSTONE,GALLATIN,February,2016,13:40,WED,NON-JUNCTION,OFF ROADWAY LOCATION UNKNOWN,CLOUDY,SNOW,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,OTHER,44.66321202,-111.1166646
C000012E,008+0.654,WEST YELLOWSTONE,GALLATIN,FEBRUARY,2017,12:05,WED,INTERSECTION,ON ROADWAY,CLEAR,WET,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,RIGHT ANGLE,44.6628932,-111.1084322
C000012E,008+0.763,WEST YELLOWSTONE,GALLATIN,August,2015,11:20,TUE,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),RIGHT ANGLE,44.66327498,-111.110635
C000012E,009+0.017,WEST YELLOWSTONE,GALLATIN,JUNE,2017,11:13,SUN,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,REAR-END,44.66273509,-111.1074057
C000012E,009+0.029,WEST YELLOWSTONE,GALLATIN,FEBRUARY,2017,9:11,MON,NON-JUNCTION,ON ROADWAY,SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.66266442,-111.107242
C000012E,009+0.073,WEST YELLOWSTONE,GALLATIN,JULY,2017,9:35,TUE,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),RIGHT ANGLE,44.66256943,-111.106336
C000012E,009+0.103,WEST YELLOWSTONE,GALLATIN,MAY,2017,10:47,WED,NON-JUNCTION,IN PARKING LANE OR ZONE,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO SIDE,44.66249195,-111.1057446
C000012E,009+0.165,WEST YELLOWSTONE,GALLATIN,JUNE,2017,15:30,FRI,NON-JUNCTION,IN PARKING LANE OR ZONE,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, OPPOSITE DIRECTION",44.66249144,-111.1044643
C000012E,009+0.178,WEST YELLOWSTONE,GALLATIN,May,2016,13:45,THU,NON-JUNCTION,IN PARKING LANE OR ZONE,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.66235449,-111.104297
C000012E,009+0.178,WEST YELLOWSTONE,GALLATIN,MARCH,2017,14:30,FRI,INTERSECTION-RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO FRONT,44.66222953,-111.1040978
C000012E,009+0.178,WEST YELLOWSTONE,GALLATIN,OCTOBER,2017,17:20,WED,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),RIGHT ANGLE,44.66224794,-111.1042581
C000012E,009+0.184,WEST YELLOWSTONE,GALLATIN,December,2015,14:33,TUE,INTERSECTION,ON ROADWAY,CLEAR,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.66218025,-111.1041814
C000012E,009+0.184,WEST YELLOWSTONE,GALLATIN,September,2015,0:00,SUN,INTERSECTION-RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),OTHER,44.66224759,-111.1042007
C000012E,009+0.203,WEST YELLOWSTONE,GALLATIN,July,2014,12:07,MON,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),OTHER,44.66222953,-111.1040978
C000012E,009+0.277,WEST YELLOWSTONE,GALLATIN,October,2014,8:45,THU,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),HEAD ON,44.66220837,-111.1023097
C000012E,009+0.289,WEST YELLOWSTONE,GALLATIN,DECEMBER,2017,14:36,WED,INTERSECTION,ON ROADWAY,BLOWING SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),RIGHT ANGLE,44.66225388,-111.1019598
C000012E,009+0.333,WEST YELLOWSTONE,GALLATIN,June,2015,11:05,SAT,THROUGH ROADWAY,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.66233101,-111.1010929
C000012E,009+0.333,WEST YELLOWSTONE,GALLATIN,May,2016,11:30,FRI,DRIVEWAY/ALLEY ACCESS RELATED,OFF ROADWAY LOCATION UNKNOWN,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.66208295,-111.1011274
C000012E,009+0.333,WEST YELLOWSTONE,GALLATIN,JULY,2017,20:12,TUE,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO SIDE,44.66223907,-111.1010971
C000012E,009+0.333,WEST YELLOWSTONE,GALLATIN,JULY,2017,21:25,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DUSK,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"LEFT TURN, SAME DIRECTION",44.66223907,-111.1010971
C000012E,009+0.382,NOT IN CITY LIMITS,GALLATIN,AUGUST,2017,17:35,TUE,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),HEAD ON,44.66216519,-111.1001528
